SIZE	HM_TRUE
50.00	0.00
100.00	0.00
150.00	0.00
200.00	0.12
250.00	0.00
300.00	0.00
350.00	0.11
400.00	0.00
450.00	0.04
500.00	0.11
550.00	0.00
600.00	0.00
650.00	0.00
700.00	0.00
750.00	0.00
800.00	0.00
