ALBRECHT
17, 132981.47
18, 24170.729
19, 137948.33
20, 91936.34
NASA93
1, 8.313904e-42
2, 28805.531
3, 37509.75
4, 167747.72
5, 161038.92
6, 200536.17
7, 228592.66
8, 233496.05
9, 263231.66
10, 292358.88
11, 300319.56
12, 68441.164
13, 62180.895
14, 327197.53
15, 74970.8
16, 384030.3
17, 81858.88
18, 382008.5
19, 79330.016
20, 93578.836
SDR
1, 6.1853314e-41
2, 5.99367
3, 40.618046
4, 12.476982
5, 11.842316
6, 20.51248
7, 20.51248
8, 31.167078
9, 31.167078
10, 32.9827
11, 32.9827
12, 31.167078
13, 33.907375
14, 32.09173
15, 30.565102
16, 26.915915
17, 19.241337
18, 18.231878
19, 13.090114
20, 9.717924
