quadrant creation , 0.384459972382
cluster creation , 0.0474779605865
8 kc1 , 16872
instance + data collection , 1.25477099419
logging coordinates , 1.25137495995
quadrant creation , 0.644025087357
cluster creation , 0.0464329719543

1 kc2 , 522
instance + data collection , 0.0418310165405
logging coordinates , 0.0601329803467
quadrant creation , 0.00806188583374
cluster creation , 0.00178694725037
2 kc2 , 1044
instance + data collection , 0.0913870334625
logging coordinates , 0.0894618034363
quadrant creation , 0.0141868591309
cluster creation , 0.00320482254028
3 kc2 , 1566
instance + data collection , 0.118354082108
logging coordinates , 0.152611017227
quadrant creation , 0.0255520343781
cluster creation , 0.00534391403198
4 kc2 , 2088
instance + data collection , 0.159358978271
logging coordinates , 0.155161857605
quadrant creation , 0.0361211299896
cluster creation , 0.00735306739807
5 kc2 , 2610
instance + data collection , 0.197685956955
logging coordinates , 0.185903072357
quadrant creation , 0.045914888382
cluster creation , 0.00838804244995
6 kc2 , 3132
instance + data collection , 0.253076076508
logging coordinates , 0.214590787888
quadrant creation , 0.0521829128265
cluster creation , 0.0081639289856
7 kc2 , 3654
instance + data collection , 0.277186870575
logging coordinates , 0.239403963089
quadrant creation , 0.0666959285736
cluster creation , 0.0112490653992
8 kc2 , 4176
instance + data collection , 0.364724874496
logging coordinates , 0.261651039124
quadrant creation , 0.0792768001556
cluster creation , 0.0112419128418

1 kc3 , 458
instance + data collection , 0.0570738315582
logging coordinates , 0.0719771385193
quadrant creation , 0.00599694252014
cluster creation , 0.00187301635742
2 kc3 , 916
instance + data collection , 0.114619016647
logging coordinates , 0.110795974731
quadrant creation , 0.0116889476776
cluster creation , 0.00303602218628
3 kc3 , 1374
instance + data collection , 0.171035051346
logging coordinates , 0.137542009354
quadrant creation , 0.0209228992462
cluster creation , 0.00590419769287
4 kc3 , 1832
instance + data collection , 0.256093978882
logging coordinates , 0.165921926498
quadrant creation , 0.0276119709015
cluster creation , 0.0057008266449
5 kc3 , 2290
instance + data collection , 0.28361082077
logging coordinates , 0.194473981857
quadrant creation , 0.0353269577026
cluster creation , 0.00728416442871
6 kc3 , 2748
instance + data collection , 0.341787099838
logging coordinates , 0.263203859329
quadrant creation , 0.0459558963776
cluster creation , 0.0101940631866
7 kc3 , 3206
instance + data collection , 0.399449825287
logging coordinates , 0.248544931412
quadrant creation , 0.053778886795
cluster creation , 0.00938582420349
8 kc3 , 3664
instance + data collection , 0.455701112747
logging coordinates , 0.315984964371
quadrant creation , 0.0713701248169
cluster creation , 0.0113198757172

1 mw1 , 403
instance + data collection , 0.0484929084778
logging coordinates , 0.0559320449829
quadrant creation , 0.00548219680786
cluster creation , 0.00485396385193
2 mw1 , 806
instance + data collection , 0.0955109596252
logging coordinates , 0.0937378406525
quadrant creation , 0.010969877243
cluster creation , 0.00370311737061
3 mw1 , 1209
instance + data collection , 0.146330118179
logging coordinates , 0.115138053894
quadrant creation , 0.0151309967041
cluster creation , 0.00411486625671
4 mw1 , 1612
instance + data collection , 0.190654993057
logging coordinates , 0.139556884766
quadrant creation , 0.0237789154053
cluster creation , 0.0060248374939
5 mw1 , 2015
instance + data collection , 0.239010095596
logging coordinates , 0.165591001511
quadrant creation , 0.032411813736
cluster creation , 0.00794291496277
6 mw1 , 2418
instance + data collection , 0.28769993782
logging coordinates , 0.187133073807
quadrant creation , 0.0362839698792
cluster creation , 0.00993204116821
7 mw1 , 2821
instance + data collection , 0.339177846909
